Player,Team,G,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK
Cameron Boozer,DUKE,10,30.2,23,8,14.3,0.559,1.6,4.3,0.372,5.4,7,0.771,3.1,6.8,9.9,3.8,1.7,1
J.T. Toppin,TXTCH,9,34.3,21.8,9.4,17.1,0.552,0.2,2,0.111,2.7,5.8,0.462,5.2,6.2,11.4,2.1,1.4,1.4
"Labaron Philon, Jr.",UA,10,28.6,21.7,8,14.5,0.552,2.2,5.3,0.415,3.5,4.9,0.714,0.6,3.2,3.8,5.4,1.3,0.3
A.J. Dybantsa,BYU,10,30.8,20.9,7.6,13.7,0.555,0.8,2.3,0.348,4.9,6.6,0.742,1.4,5.3,6.7,3.4,1.1,0.5
Ryan Conwell,LVILL,10,27.2,19.4,5.3,12.3,0.431,3.7,8.8,0.42,5.1,5.9,0.864,0.9,3.6,4.5,2.5,1.1,0.2
Caleb Wilson,UNC,10,29.8,19.4,6.5,11.8,0.551,0.3,1.2,0.25,6.1,8.3,0.735,2.8,7.8,10.6,2.5,1.5,1.3
Darryn Peterson,KU,4,26.3,19.3,7,13.3,0.528,2.8,6.5,0.423,2.5,3.3,0.769,0.3,3.5,3.8,2.8,1.3,0.8
Thomas Haugh,FLA,10,35.2,18.6,6.2,12.7,0.488,1.9,5.7,0.333,4.3,5.8,0.741,2.4,4.6,7,2.4,0.7,0.8
Hannes Steinbach,UWASH,7,31.6,17.9,6.9,10.6,0.649,0.6,0.9,0.667,3.6,4.9,0.735,4.9,7,11.9,2.7,0.7,1
"Darius Acuff, Jr.",ARK,10,32.3,17.7,6.4,13.8,0.464,2.3,5.5,0.418,2.6,3.6,0.722,0.6,2.5,3.1,5.7,0.7,0.4
Tounde Yessoufou,BAYL,9,29.7,17.7,6.6,14.1,0.465,1.6,5,0.311,3,4,0.75,2.6,3.1,5.7,1.3,2,0.6
Richie Saunders,BYU,10,31.1,17.5,6.1,12.3,0.496,2.5,6.4,0.391,2.8,3.6,0.778,1.5,4,5.5,2,1.9,0.3
Bennett Stirtz,IOWA,11,36.6,17.5,5.7,11.6,0.492,2.5,5.7,0.444,3.5,4.4,0.792,0.4,2.3,2.6,4.9,1.6,0.2
Mikel Brown Jr.,LVILL,10,27,16.6,4.5,11.8,0.381,1.9,7.1,0.268,5.7,6.8,0.838,0,3,3,5.1,0.8,0.1
